"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"41","att.grappa","src/att/grappa/Attribute.java","3","74","Local variable 'oldHandler' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"42","att.grappa","src/att/grappa/Attribute.java","3","80","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"43","att.grappa","src/att/grappa/Attribute.java","3","82","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"44","att.grappa","src/att/grappa/Attribute.java","3","87","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"45","att.grappa","src/att/grappa/Attribute.java","3","89","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"46","att.grappa","src/att/grappa/Attribute.java","3","89","It is somewhat confusing to have a field name with the same name as a method","Naming Rules","AvoidFieldNameMatchingMethodName"
"47","att.grappa","src/att/grappa/Attribute.java","3","92","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"48","att.grappa","src/att/grappa/Attribute.java","3","106","Parameter 'attrName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"49","att.grappa","src/att/grappa/Attribute.java","3","106","Parameter 'attrValue' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"50","att.grappa","src/att/grappa/Attribute.java","3","106","Parameter 'elemType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"51","att.grappa","src/att/grappa/Attribute.java","3","123","Parameter 'attr' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"52","att.grappa","src/att/grappa/Attribute.java","3","136","Unnecessary final modifier in final class","Basic Rules","UnnecessaryFinalModifier"
"53","att.grappa","src/att/grappa/Attribute.java","3","145","Unnecessary final modifier in final class","Basic Rules","UnnecessaryFinalModifier"
"54","att.grappa","src/att/grappa/Attribute.java","3","154","Unnecessary final modifier in final class","Basic Rules","UnnecessaryFinalModifier"
"55","att.grappa","src/att/grappa/Attribute.java","3","163","Unnecessary final modifier in final class","Basic Rules","UnnecessaryFinalModifier"
"56","att.grappa","src/att/grappa/Attribute.java","3","175","Unnecessary final modifier in final class","Basic Rules","UnnecessaryFinalModifier"
"57","att.grappa","src/att/grappa/Attribute.java","1","176","A switch with less than 3 branches is inefficient, use a if statement instead.","Design Rules","TooFewBranchesForASwitchStatement"
"58","att.grappa","src/att/grappa/Attribute.java","3","176","Switch statements should have a default label","Design Rules","SwitchStmtsShouldHaveDefault"
"59","att.grappa","src/att/grappa/Attribute.java","3","181","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"60","att.grappa","src/att/grappa/Attribute.java","2","197","Avoid reassigning parameters such as 'attrValue'","Design Rules","AvoidReassigningParameters"
"61","att.grappa","src/att/grappa/Attribute.java","3","197","The method 'setValue' has a Cyclomatic Complexity of 11.","Code Size Rules","CyclomaticComplexity"
"62","att.grappa","src/att/grappa/Attribute.java","5","198","Found 'DD'-anomaly for variable 'changed' (lines '198'-'212').","Controversial Rules","DataflowAnomalyAnalysis"
"63","att.grappa","src/att/grappa/Attribute.java","5","198","Found 'DD'-anomaly for variable 'changed' (lines '198'-'217').","Controversial Rules","DataflowAnomalyAnalysis"
"64","att.grappa","src/att/grappa/Attribute.java","5","198","Found 'DD'-anomaly for variable 'changed' (lines '198'-'223').","Controversial Rules","DataflowAnomalyAnalysis"
"65","att.grappa","src/att/grappa/Attribute.java","5","199","Found 'DD'-anomaly for variable 'isString' (lines '199'-'202').","Controversial Rules","DataflowAnomalyAnalysis"
"66","att.grappa","src/att/grappa/Attribute.java","5","199","Found 'DU'-anomaly for variable 'isString' (lines '199'-'232').","Controversial Rules","DataflowAnomalyAnalysis"
"67","att.grappa","src/att/grappa/Attribute.java","5","200","Found 'DD'-anomaly for variable 'oldValue' (lines '200'-'203').","Controversial Rules","DataflowAnomalyAnalysis"
"68","att.grappa","src/att/grappa/Attribute.java","5","200","Found 'DD'-anomaly for variable 'oldValue' (lines '200'-'206').","Controversial Rules","DataflowAnomalyAnalysis"
"69","att.grappa","src/att/grappa/Attribute.java","3","201","No need to check for null before an instanceof","Design Rules","SimplifyConditional"
"70","att.grappa","src/att/grappa/Attribute.java","5","202","Found 'DU'-anomaly for variable 'isString' (lines '202'-'232').","Controversial Rules","DataflowAnomalyAnalysis"
"71","att.grappa","src/att/grappa/Attribute.java","3","210","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"72","att.grappa","src/att/grappa/Attribute.java","3","212","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"73","att.grappa","src/att/grappa/Attribute.java","3","214","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"74","att.grappa","src/att/grappa/Attribute.java","3","217","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"75","att.grappa","src/att/grappa/Attribute.java","3","219","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"76","att.grappa","src/att/grappa/Attribute.java","3","223","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"77","att.grappa","src/att/grappa/Attribute.java","3","224","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"78","att.grappa","src/att/grappa/Attribute.java","3","225","Assigning an Object to null is a code smell.  Consider refactoring.","Controversial Rules","NullAssignment"
"79","att.grappa","src/att/grappa/Attribute.java","2","240","The method name and parameter number are suspiciously close to equals(Object)","Naming Rules","SuspiciousEqualsMethodName"
"80","att.grappa","src/att/grappa/Attribute.java","3","242","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"81","att.grappa","src/att/grappa/Attribute.java","3","245","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"82","att.grappa","src/att/grappa/Attribute.java","3","248","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"83","att.grappa","src/att/grappa/Attribute.java","3","250","Local variable 'attrValue' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"84","att.grappa","src/att/grappa/Attribute.java","3","252","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"85","att.grappa","src/att/grappa/Attribute.java","3","255","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"86","att.grappa","src/att/grappa/Attribute.java","3","275","Local variable 'attrValue' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"87","att.grappa","src/att/grappa/Attribute.java","3","338","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"88","att.grappa","src/att/grappa/Attribute.java","5","338","Found 'UR'-anomaly for variable 'strbuf' (lines '338'-'338').","Controversial Rules","DataflowAnomalyAnalysis"
"89","att.grappa","src/att/grappa/Attribute.java","3","338","The method 'convertValue' has a Cyclomatic Complexity of 33.","Code Size Rules","CyclomaticComplexity"
"90","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'344').","Controversial Rules","DataflowAnomalyAnalysis"
"91","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'351').","Controversial Rules","DataflowAnomalyAnalysis"
"92","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'358').","Controversial Rules","DataflowAnomalyAnalysis"
"93","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'365').","Controversial Rules","DataflowAnomalyAnalysis"
"94","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'372').","Controversial Rules","DataflowAnomalyAnalysis"
"95","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'387').","Controversial Rules","DataflowAnomalyAnalysis"
"96","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'395').","Controversial Rules","DataflowAnomalyAnalysis"
"97","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'402').","Controversial Rules","DataflowAnomalyAnalysis"
"98","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'409').","Controversial Rules","DataflowAnomalyAnalysis"
"99","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'416').","Controversial Rules","DataflowAnomalyAnalysis"
"100","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'423').","Controversial Rules","DataflowAnomalyAnalysis"
"101","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'430').","Controversial Rules","DataflowAnomalyAnalysis"
"102","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'437').","Controversial Rules","DataflowAnomalyAnalysis"
"103","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DD'-anomaly for variable 'stringValue' (lines '339'-'444').","Controversial Rules","DataflowAnomalyAnalysis"
"104","att.grappa","src/att/grappa/Attribute.java","5","339","Found 'DU'-anomaly for variable 'stringValue' (lines '339'-'459').","Controversial Rules","DataflowAnomalyAnalysis"
"105","att.grappa","src/att/grappa/Attribute.java","3","346","The String literal 'value of attribute \'' appears 26 times in this file; the first occurrence is on line 346","String and StringBuffer Rules","AvoidDuplicateLiterals"
"106","att.grappa","src/att/grappa/Attribute.java","3","360","The String literal '\' is not an instance of Integer' appears 9 times in this file; the first occurrence is on line 360","String and StringBuffer Rules","AvoidDuplicateLiterals"
"107","att.grappa","src/att/grappa/Attribute.java","3","378","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"108","att.grappa","src/att/grappa/Attribute.java","3","379","Local variable 'strbuf' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"109","att.grappa","src/att/grappa/Attribute.java","3","380","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"110","att.grappa","src/att/grappa/Attribute.java","3","380","Local variable 'keys' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"111","att.grappa","src/att/grappa/Attribute.java","3","383","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"112","att.grappa","src/att/grappa/Attribute.java","3","443","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"113","att.grappa","src/att/grappa/Attribute.java","1","446","Avoid throwing raw exception types.","Strict Exception Rules","AvoidThrowingRawExceptionTypes"
"114","att.grappa","src/att/grappa/Attribute.java","1","454","Avoid throwing raw exception types.","Strict Exception Rules","AvoidThrowingRawExceptionTypes"
"115","att.grappa","src/att/grappa/Attribute.java","2","475","Avoid reassigning parameters such as 'stringValue'","Design Rules","AvoidReassigningParameters"
"116","att.grappa","src/att/grappa/Attribute.java","3","475","The method 'convertStringValue' has a Cyclomatic Complexity of 29.","Code Size Rules","CyclomaticComplexity"
"117","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'479').","Controversial Rules","DataflowAnomalyAnalysis"
"118","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'486').","Controversial Rules","DataflowAnomalyAnalysis"
"119","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'489').","Controversial Rules","DataflowAnomalyAnalysis"
"120","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'492').","Controversial Rules","DataflowAnomalyAnalysis"
"121","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'496').","Controversial Rules","DataflowAnomalyAnalysis"
"122","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'503').","Controversial Rules","DataflowAnomalyAnalysis"
"123","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'511').","Controversial Rules","DataflowAnomalyAnalysis"
"124","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'514').","Controversial Rules","DataflowAnomalyAnalysis"
"125","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'522').","Controversial Rules","DataflowAnomalyAnalysis"
"126","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'529').","Controversial Rules","DataflowAnomalyAnalysis"
"127","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'532').","Controversial Rules","DataflowAnomalyAnalysis"
"128","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'535').","Controversial Rules","DataflowAnomalyAnalysis"
"129","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'543').","Controversial Rules","DataflowAnomalyAnalysis"
"130","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'546').","Controversial Rules","DataflowAnomalyAnalysis"
"131","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'549').","Controversial Rules","DataflowAnomalyAnalysis"
"132","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DD'-anomaly for variable 'value' (lines '476'-'553').","Controversial Rules","DataflowAnomalyAnalysis"
"133","att.grappa","src/att/grappa/Attribute.java","5","476","Found 'DU'-anomaly for variable 'value' (lines '476'-'565').","Controversial Rules","DataflowAnomalyAnalysis"
"134","att.grappa","src/att/grappa/Attribute.java","3","478","String.trim().length()==0 is an inefficient way to validate an empty String.","String and StringBuffer Rules","InefficientEmptyStringCheck"
"135","att.grappa","src/att/grappa/Attribute.java","2","492","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"136","att.grappa","src/att/grappa/Attribute.java","5","496","Found 'DU'-anomaly for variable 'value' (lines '496'-'565').","Controversial Rules","DataflowAnomalyAnalysis"
"137","att.grappa","src/att/grappa/Attribute.java","3","499","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"138","att.grappa","src/att/grappa/Attribute.java","2","503","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Migration Rules","IntegerInstantiation"
"139","att.grappa","src/att/grappa/Attribute.java","3","507","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"140","att.grappa","src/att/grappa/Attribute.java","3","512","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"141","att.grappa","src/att/grappa/Attribute.java","3","517","Consider replacing this Hashtable with the newer java.util.Map","Migration Rules","ReplaceHashtableWithMap"
"142","att.grappa","src/att/grappa/Attribute.java","5","522","Found 'DU'-anomaly for variable 'value' (lines '522'-'565').","Controversial Rules","DataflowAnomalyAnalysis"
"143","att.grappa","src/att/grappa/Attribute.java","3","525","New exception is thrown in catch block, original stack trace may be lost","Design Rules","PreserveStackTrace"
"144","att.grappa","src/att/grappa/Attribute.java","3","535","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"145","att.grappa","src/att/grappa/Attribute.java","5","535","Found 'DD'-anomaly for variable 'value' (lines '535'-'537').","Controversial Rules","DataflowAnomalyAnalysis"
"146","att.grappa","src/att/grappa/Attribute.java","3","537","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"147","att.grappa","src/att/grappa/Attribute.java","5","537","Found 'DU'-anomaly for variable 'value' (lines '537'-'565').","Controversial Rules","DataflowAnomalyAnalysis"
"148","att.grappa","src/att/grappa/Attribute.java","3","552","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"149","att.grappa","src/att/grappa/Attribute.java","1","555","Avoid throwing raw exception types.","Strict Exception Rules","AvoidThrowingRawExceptionTypes"
"150","att.grappa","src/att/grappa/Attribute.java","3","580","Avoid really long methods.","Code Size Rules","ExcessiveMethodLength"
"151","att.grappa","src/att/grappa/Attribute.java","3","580","The method 'copyValue' has a Cyclomatic Complexity of 31.","Code Size Rules","CyclomaticComplexity"
"152","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'586').","Controversial Rules","DataflowAnomalyAnalysis"
"153","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'593').","Controversial Rules","DataflowAnomalyAnalysis"
"154","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'600').","Controversial Rules","DataflowAnomalyAnalysis"
"155","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'607').","Controversial Rules","DataflowAnomalyAnalysis"
"156","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'614').","Controversial Rules","DataflowAnomalyAnalysis"
"157","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'621').","Controversial Rules","DataflowAnomalyAnalysis"
"158","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'628').","Controversial Rules","DataflowAnomalyAnalysis"
"159","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'635').","Controversial Rules","DataflowAnomalyAnalysis"
"160","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'642').","Controversial Rules","DataflowAnomalyAnalysis"
"161","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'649').","Controversial Rules","DataflowAnomalyAnalysis"
"162","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'656').","Controversial Rules","DataflowAnomalyAnalysis"
"163","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'663').","Controversial Rules","DataflowAnomalyAnalysis"
"164","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'670').","Controversial Rules","DataflowAnomalyAnalysis"
"165","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DD'-anomaly for variable 'copy_value' (lines '581'-'677').","Controversial Rules","DataflowAnomalyAnalysis"
"166","att.grappa","src/att/grappa/Attribute.java","5","581","Found 'DU'-anomaly for variable 'copy_value' (lines '581'-'692').","Controversial Rules","DataflowAnomalyAnalysis"
"167","att.grappa","src/att/grappa/Attribute.java","3","676","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"168","att.grappa","src/att/grappa/Attribute.java","1","679","Avoid throwing raw exception types.","Strict Exception Rules","AvoidThrowingRawExceptionTypes"
"169","att.grappa","src/att/grappa/Attribute.java","1","687","Avoid throwing raw exception types.","Strict Exception Rules","AvoidThrowingRawExceptionTypes"
"170","att.grappa","src/att/grappa/Attribute.java","5","709","Found 'DD'-anomaly for variable 'attrType' (lines '709'-'713').","Controversial Rules","DataflowAnomalyAnalysis"
"171","att.grappa","src/att/grappa/Attribute.java","5","709","Found 'DD'-anomaly for variable 'attrType' (lines '709'-'716').","Controversial Rules","DataflowAnomalyAnalysis"
"172","att.grappa","src/att/grappa/Attribute.java","5","709","Found 'DD'-anomaly for variable 'attrType' (lines '709'-'719').","Controversial Rules","DataflowAnomalyAnalysis"
"173","att.grappa","src/att/grappa/Attribute.java","5","709","Found 'DD'-anomaly for variable 'attrType' (lines '709'-'722').","Controversial Rules","DataflowAnomalyAnalysis"
"174","att.grappa","src/att/grappa/Attribute.java","5","709","Found 'DU'-anomaly for variable 'attrType' (lines '709'-'729').","Controversial Rules","DataflowAnomalyAnalysis"
"175","att.grappa","src/att/grappa/Attribute.java","3","728","This statement may have some unnecessary parentheses","Controversial Rules","UnnecessaryParentheses"
"176","att.grappa","src/att/grappa/AttributeHandler.java","3","35","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"177","att.grappa","src/att/grappa/AttributeHandler.java","3","51","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"178","att.grappa","src/att/grappa/AttributeHandler.java","3","66","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"179","att.grappa","src/att/grappa/CustomRenderer.java","3","39","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"180","att.grappa","src/att/grappa/CustomRenderer.java","3","53","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"181","att.grappa","src/att/grappa/CustomRenderer.java","3","73","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"182","att.grappa","src/att/grappa/Edge.java","3","23","The class 'Edge' has a Cyclomatic Complexity of 4 (Highest = 25).","Code Size Rules","CyclomaticComplexity"
"183","att.grappa","src/att/grappa/Edge.java","3","24","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
"184","att.grappa","src/att/grappa/Edge.java","1","30","Variables that are final and static should be in all caps.","Naming Rules","VariableNamingConventions"
"185","att.grappa","src/att/grappa/Edge.java","3","35","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"186","att.grappa","src/att/grappa/Edge.java","3","36","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"187","att.grappa","src/att/grappa/Edge.java","3","37","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"188","att.grappa","src/att/grappa/Edge.java","3","38","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"189","att.grappa","src/att/grappa/Edge.java","3","39","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"190","att.grappa","src/att/grappa/Edge.java","3","44","Use explicit scoping instead of the default package private level","Controversial Rules","DefaultPackage"
"191","att.grappa","src/att/grappa/Edge.java","3","53","Parameter 'head' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
